n,joinTime,msg,Destpeer_selection
1,3551,5,succesor
2,9614,9,succesor
3,11554,10,succesor
4,8231,8,succesor
5,13376,12,succesor
6,9106,8,succesor
7,14634,14,succesor
8,15997,15,succesor
9,17062,16,succesor
10,9292,8,succesor
11,19580,18,succesor
12,19390,19,succesor
13,19489,20,succesor
14,16348,18,succesor
15,21216,22,succesor
16,23098,23,succesor
17,23533,24,succesor
18,25042,25,succesor
19,25717,26,succesor
20,27000,27,succesor
21,28899,28,succesor
22,29962,29,succesor
23,23097,23,succesor
24,26765,26,succesor
25,32985,32,succesor
26,32159,33,succesor
27,32276,34,succesor
28,35077,35,succesor
29,21622,21,succesor
30,35766,37,succesor
31,37545,38,succesor
32,24331,24,succesor
33,29134,27,succesor
34,32212,32,succesor
35,41750,42,succesor
36,42006,43,succesor
37,41187,44,succesor
38,43683,45,succesor
39,45096,47,succesor
40,45388,48,succesor
41,47723,49,succesor
42,47235,50,succesor
43,48838,51,succesor
44,46394,52,succesor
45,52046,53,succesor
46,51681,54,succesor
47,48509,55,succesor
48,54926,56,succesor
49,56018,57,succesor
50,56370,58,succesor
1,3610,5,random
2,10066,10,random
3,16156,13,random
4,9138,8,random
5,21399,18,random
6,8585,8,random
7,23429,21,random
8,24095,19,random
9,27086,24,random
10,5127,8,random
11,28228,27,random
12,20413,20,random
13,35938,35,random
14,31007,29,random
15,27504,26,random
16,36681,35,random
17,35869,34,random
18,44025,42,random
19,33709,31,random
20,41701,40,random
21,25111,29,random
22,51818,52,random
23,39983,37,random
24,30547,30,random
25,38029,36,random
26,54276,55,random
27,41652,40,random
28,58895,64,random
29,38622,36,random
30,41315,41,random
31,67745,71,random
32,29520,31,random
33,49455,49,random
34,55331,59,random
35,46307,46,random
36,75357,81,random
37,71989,75,random
38,75617,81,random
39,61320,64,random
40,69852,70,random
41,54567,57,random
42,60233,63,random
43,41900,43,random
44,39652,42,random
45,74155,78,random
46,76576,83,random
47,92238,100,random
48,51865,56,random
49,99480,107,random
50,62114,67,random